isolation,maxconcurrent,correctness,duration
read_committed,1,1.0,4.4855
read_committed,2,0.96,1.5225
read_committed,3,0.89,1.1366
read_committed,4,0.85,1.0525
read_committed,5,0.72,0.9894
serializable,1,1.0,4.3091
serializable,2,1.0,2.2002
serializable,3,1.0,1.7769
serializable,4,1.0,1.6078
serializable,5,1.0,1.4315
read_committed,1,1.0,3.3172
read_committed,2,1.0,1.3412
read_committed,3,1.0,1.0760
read_committed,4,1.0,1.0389
read_committed,5,1.0,1.0180
serializable,1,1.0,3.3325
serializable,2,1.0,1.5323
serializable,3,1.0,1.4597
serializable,4,1.0,1.4927
serializable,5,1.0,1.2743
